Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Vehicle_movement,Pedestrian_movement,Cause_of_accident,Accident_severity
31-50,Male,Junior high school,Employee,Above 10yr,Public (> 45 seats),Owner,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Overtaking,Slight Injury
18-30,Male,Junior high school,Employee,1-2yr,Automobile,Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside-parked vehicles,U-Turn,Not a Pedestrian,Moving Backward,Serious Injury
31-50,Male,Above high school,Employee,No Licence,Automobile,Owner,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Earth roads,Dry,Daylight,Normal,Collision with animals,Going straight,Not a Pedestrian,No priority to pedestrian,Serious Injury
18-30,Male,Junior high school,Employee,1-2yr,Public (> 45 seats),Owner,Office areas,Double carriageway (median),Escarpments,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with animals,Going straight,Not a Pedestrian,No distancing,Slight Injury
31-50,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,Office areas,Undivided Two way,Escarpments,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with animals,Going straight,Not a Pedestrian,No distancing,Serious Injury
18-30,Female,Junior high school,Employee,Above 10yr,Lorry (11?40Q),Owner,Office areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with animals,Going straight,Not a Pedestrian,No distancing,Serious Injury
18-30,Male,Junior high school,Owner,5-10yr,Public (13?45 seats),Owner,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with animals,Going straight,Not a Pedestrian,Moving Backward,Slight Injury
18-30,Male,Junior high school,Employee,Below 1yr,Long lorry,Owner,Residential areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with animals,Going straight,Not a Pedestrian,Moving Backward,Serious Injury
18-30,Male,Junior high school,Employee,2-5yr,Lorry (11?40Q),Owner, Church areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with animals,Moving Backward,Not a Pedestrian,Overtaking,Serious Injury
31-50,Male,Junior high school,Employee,Above 10yr,Public (12 seats),Owner, Industrial areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Rollover,Reversing,Not a Pedestrian,Changing lane to the right,Serious Injury
18-30,Male,Above high school,Employee,2-5yr,Automobile,Owner,  Market areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with animals,Going straight,Not a Pedestrian,Changing lane to the right,Slight Injury
18-30,Male,Junior high school,Employee,2-5yr,Automobile,Owner,Residential areas,Two-way (divided with solid lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with roadside-parked vehicles,Going straight,Not a Pedestrian,Changing lane to the left,Slight Injury
18-30,Male,Junior high school,Employee,Above 10yr,Automobile,Governmental,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside-parked vehicles,Moving Backward,Not a Pedestrian,No priority to vehicle,Slight Injury
Over 51,Male,Junior high school,Employee,Below 1yr,Automobile,Owner,Rural village areas,Undivided Two way,Gentle horizontal curve,O Shape,Asphalt roads,Dry,Daylight,Normal,Collision with animals,Going straight,Not a Pedestrian,No priority to pedestrian,Slight Injury
18-30,Male,Above high school,Employee,1-2yr,Taxi,Owner,Office areas,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside-parked vehicles,Going straight,Not a Pedestrian,No priority to vehicle,Slight Injury
18-30,Male,High school,Employee,2-5yr,Automobile,Owner,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,Going straight,Not a Pedestrian,No priority to vehicle,Slight Injury
18-30,Male,Junior high school,Employee,Above 10yr,Public (12 seats),Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,No distancing,Slight Injury
18-30,Male,Junior high school,Employee,Above 10yr,Public (13?45 seats),Governmental,Office areas,Two-way (divided with broken lines road marking),Escarpments,Y Shape,Gravel roads,Dry,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Changing lane to the right,Slight Injury
31-50,Male,Junior high school,Employee,Above 10yr,Stationwagen,Owner, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,No priority to vehicle,Slight Injury
18-30,Male,High school,Employee,5-10yr,Public (12 seats),Organization, Industrial areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Rollover,Going straight,Not a Pedestrian,No priority to pedestrian,Slight Injury
